DG_PRODUCTCD,Action,DG_PRODUCTDESC,MV_PRODUCTCD,MV_GLOBEX_PRODUCTCD,CURRENT_PERIOD,SETTLE_LOW,SETTLE_HIGH,DEVIDE,DG_PRODUCTCD,IsBraket,samlpe MV model,Profile(All/custom/default)
CME_NYMEX_CL,check,Light Sweet Crude Oil (WTI),/CL,/GCL,No,50,100,NA,CL,Yes,/CL[00],
CME_NYMEX_ACF,,Ethanol,/CU,,YES,1,10,1000,ACF,No,/CU00,
CME_NYMEX_S,,Soybeans Futures,/XK,,YES,800,1200,10,S,Yes,/XK[00],
CME_NYMEX_C,,Corn,/YCN,,YES,300,500,10,C,No,/YCN00,
CME_NYMEX_BO,,Soybean Oil,/YK,,YES,10,50,100,BO,Yes,/YK[00],
CME_NYMEX_YW,,Mini Wheat,/YW,,YES,500,1200,10,YW,Yes,,
CME_NYMEX_W,,Wheat,/YW,,YES,400,700,10,W,Yes,,
CME_NYMEX_TYF,,10-Year T-Note Futures,,,YES,100,150,1000,CCS,,,
CME_NYMEX_TU,,2-Year T-Note Futures,,,YES,100,150,1000,ACF,,,
CME_NYMEX_US,,30-Year US Treasury Bond Futures,,,YES,100,200,100,MKC,,,
CME_NYMEX_3YR,,3-Year T-Note Futures,,,YES,100,150,1000,YW,,,
CME_NYMEX_FV,,5-Year T-Note Futures,,,YES,100,150,1000,RRF,,,
CME_NYMEX_CCS,,Corn Calendar Swaps Futures,,,NO,1,10,100,SM,,,
CME_NYMEX_MKC,,Mini -Sized KC HRW Wheat Futures,,,YES,500,800,10,BO,,,
CME_NYMEX_RRF,,Rough Rice Futures,,,YES,5,20,1000,S,,,
CME_NYMEX_SM,,Soyabean Meal Futures,,,YES,100,500,10,W,,,
CME_NYMEX_BWF,,Black Sea Wheat Financially Settled (Platts) Futures,,,YES,175,225,100,BWF,,,
CME_NYMEX_HTT,,WTI Houston (Argus) vs WTI Trade Month Futures,,,NO,1,10,,HTT,,,
CME_NYMEX_FF,,WTI Midland (Argus) vs. WTI Financial Futures,,,YES,-25,5,,FF,,,
CME_NYMEX_MFF,,Coal API4 FOB Richards Bay Argus McCloskey Futures,,,YES,75,125,,MFF,,,
CME_NYMEX_GCM,,Gulf Coast Unl 87 Gasoline M2 (Platts) Futures,,,YES,1,5,,GCM,,,
CME_NYMEX_LY,,Gulf Coast ULSD (Platts) Futures,,,YES,1,5,,LY,,,
CME_NYMEX_SSF,,Steel Billet FOB Black Sea (Platts) Futures,,,YES,300,500,,SSF,,,
CME_NYMEX_8K,,Conway Propane (OPIS) Futures,,,YES,0,1,,8K,,,
CME_NYMEX_HG,,Copper Futures,,,YES,2,4,,HG,,,
CME_NYMEX_SF,,Swiss Franc Futures,,,YES,0,2,,SF,,,
CME_NYMEX_MEB,,Mini Gasoline Euro-bob Oxy NWE Barges (Argus) BALMO Futures,,,YES,600,800,,MEB,,,
CME_NYMEX_EB,,Three-Month Euribor Futures,,,YES,100,200,,EB,,,
CME_NYMEX_ES,,E-mini S&P 500 Futures,,,YES,200,3000,,ES,,,
CME_NYMEX_7Q,,Mont Belvieu Natural Gasoline (OPIS)Â Futures,,,YES,1,3,,7Q,,,
CME_NYMEX_3G,,Premium Unleaded Gasoline 10 ppm FOB MED (Platts) Futures,,,YES,400,1000,,3G,,,
CME_NYMEX_3C,,Chicago CBOB Gasoline (Platts) vs. RBOB Gasoline Futures,,,YES,-1,1,,3C,,,
CME_NYMEX_4C,,Chicago ULSD (Platts) Futures,,,YES,0,2,,4C,,,
CME_NYMEX_5C,,Chicago ULSD (Platts) vs. NY Harbor ULSD Futures,,,YES,-10,1,,5C,,,
CME_NYMEX_0D,,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,,,YES,250,700,,0D,,,
CME_NYMEX_1X,,1% Fuel Oil Cargoes CIF NWE (Platts) Futures,,,YES,150,500,,1X,,,
CME_NYMEX_1W,,1% Fuel Oil Cargoes CIF MED (Platts) Futures,,,YES,170,500,,1W,,,
CME_NYMEX_UV,,European 3.5PCT Fuel Oil Barges FOB Rdam (Platts) Futures,,,YES,140,700,,UV,,,
CME_NYMEX_AD,,Australian Dollar Futures,,,YES,0,1,,AD,,,
CME_NYMEX_PL,,Platinum Futures,,,YES,400,1000,,PL,,,
CME_NYMEX_WCC,,Canadian Heavy Crude Oil Index (Net Energy) Futures,,,NO,-30,-9,,WCC,,,
CME_NYMEX_SI,,Silver Futures,,,YES,4,40,,SI,,,
CME_NYMEX_NG,,Henry Hub Natural Gas,,,NO,2,5,,NG,,,
CME_NYMEX_SSI,,Coal API 8 cfr South China Argus McCloskey Futures,,,YES,-10,0,,SSI,,,
